,title,abstract,publication_date,doi,authors,source,url,search_string,database
464,Value addition in the services sector and its heterogeneous impacts on CO_2 emissions: revisiting the EKC hypothesis for the OPEC using panel spatial estimation techniques,"This study examines the Environmental Kuznets Curve (EKC) hypothesis in the context of 12 members of the OPEC by utilizing data on both the aggregate gross value added and the services’ sectoral value-added between 1992 and 2015. This empirical work contributes to the literature by applying the panel spatial techniques which resulted in the findings as follows. Firstly, the results verify the authenticity of the EKC hypothesis for the aggregate level of gross value added as perceived from its inverted-U shaped association with CO2 emissions. Secondly, the disaggregated analysis affirms the heterogeneity of the validity of the EKC hypothesis across the subsectors within the services sector; this justifies the importance of analyzing the EKC hypothesis from a comprehensive (disaggregated) perspective for unearthing key sector-specific policy implications. The results reveal that the EKC hypothesis holds only in the context of construction services only but not for the cases of restaurant services, tourism and transportation services. These key findings call for effective measures to be undertaken to address the adverse environmental impacts that can be attributed to thse three sub-sectors for which the EKC did not hold. In line with the overall findings from the empirical exercises, it is recommended that the concerned OPEC members reduce their monotonic dependency on the consumption of fossil fuels, oil in particular, and gradually incorporate renewable energy resources into the energy-mix particularly within their respective services sector.",2020-07-07,10.1007/s11356-020-09593-4,"['Murshed, Muntasir', 'Nurmakhanova, Mira', 'Elheddad, Mohamed', 'Ahmed, Rizwan']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09593-4,"(""agr*"") AND (""carbon emissions trade"")",springer
465,Research on coupling degree and coupling path between China’s carbon emission efficiency and industrial structure upgrading,"To coordinate economic development and carbon emission reduction targets, China needs to improve carbon emission efficiency and upgrade the industrial structure. Therefore, it is important to study the coupling degree and coupling path between these two factors in various provinces in China, and thereby promote the development of China’s low-carbon economy. We first calculate carbon emission efficiency using the Super-SBM model, then analyze an extended coupling model between carbon emission efficiency and industrial structure upgrading, and finally design the coupling paths using the framework of distribution dynamics. There are three main findings. First, the coupling degree of nearly half the provinces is at the level of mild-to-moderate imbalance recession. And in terms of specific coupling characteristics, nearly half the provinces belong to the type “low-level coordination,” with a low development degree and high coordination degree. Second, there is an obvious dynamic imbalance between China’s carbon emission efficiency and industrial structure upgrading, and the “low-level trap” of regional carbon emission efficiency is more serious than that of regional industrial structure upgrading. Finally, if the government prioritizes provinces with low carbon emission efficiency, carbon emission efficiency and the coupling efficiency with industrial structure can be improved, which would not only improve the coupling degree within each region but also alleviate the disharmony between regions.",2020-07-01,10.1007/s11356-020-08993-w,"['Zhou, Di', 'Zhang, Xiaoru', 'Wang, Xueqin']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08993-w,"(""agr*"") AND (""carbon emissions trade"")",springer
466,Driving forces of China’s multisector CO_2 emissions: a Log-Mean Divisia Index decomposition,"To figure out which factor contributes more on carbon emissions caused by energy consumption, this research took multisector analysis based on the Log-Mean Divisia Index Method (LMDI) and decoupling theory to assess the driving factors of carbon dioxide (CO_2) emissions in China’s six sectors from 2003 to 2016. Our empirical results reveal that China’s economy can be divided as three decoupling stages and exhibited a distinct tendency toward strong decoupling with a turning point in 2008. Thus, we discuss the impact of 2008 economic crisis on carbon emissions based on decomposition results. The empirical results of our study show the following five conclusions. (1) Most sectors in China are in weak decoupling state due to the inhibition of energy intensity on carbon emissions. (2) Different factors contribute differently to reducing emissions in different sectors, economic output has the most prominent effect, followed by energy intensity and population scale. (3) China’s current carbon emission reduction measures benefit more on energy efficiency. (4) The economic crisis has greatly reduced energy efficiency and has no significant impact on other factors. (5) If all industries adjust their energy mix, carbon emissions in China can be reduced by almost 17% every year.",2020-07-01,10.1007/s11356-020-08490-0,"['Pan, Wei', 'Tu, Haiting', 'Hu, Cheng', 'Pan, Wulin']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08490-0,"(""agr*"") AND (""carbon emissions trade"")",springer
467,Can sustainable operations achieve economic benefit and energy saving for manufacturing industries in China?,"China has launched energy quota right trading system, as one of the sustainable operations, since 2016 to cap the total energy consumption, however the economic and energy saving effect of this new policy is unclear. Based on the input and output panel data of China’s 29 manufacturing sub-industries, this paper constructs the non-parametric optimization model under the command-and-control and the energy quota right trading scenario, to compare their potential economic gains and energy savings of these two polices for Chinese manufacturing industries. Results show that, whether at overall level or at the sub-industries level, the economic potential and energy-saving potential from energy quota right trading are higher than those from command-and-control. However, a part of energy-saving potential will be squeezed out due to the negative externality of the energy market trading. We suggest the well integration of both command-and-control and the market mechanism to achieve a Win–Win development.",2020-07-01,10.1007/s10479-018-2955-3,"['Zhang, Ning', 'Zhang, Weijie']",Annals of Operations Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10479-018-2955-3,"(""agr*"") AND (""carbon emissions trade"")",springer
468,Using Kaya and LMDI models to analyze carbon emissions from the energy consumption in China,"China has become the largest carbon-emitting country in the world since 2007. To achieve national environmental goals by 2030, the carbon emissions per unit of gross domestic product (GDP) will need to fall to 60–65% of 2005 levels. Such a dramatic decrease presents a challenge for a nation in adjusting its energy source and usage, but via monitoring of reductions, greater understanding can be gained of how carbon emitters are responding to national goals. We analyzed the change in carbon emissions from China’s fossil energy consumption from population, per capita GDP, energy efficiency improvements and energy structure using a Kaya identity model and Logarithmic Mean Divisia Index (LMDI) factor decomposition method from 2006 to 2018. Results suggest that trends in carbon emissions from 2006 to 2018 can be broken down into four periods: a rapid increase period during 2006–2011, a slowdown increase period during 2011–2014, a consecutive decline period during 2014–2016 and a rebound during 2017–2018. Trends in carbon emissions were greatly affected by per capita GDP and energy efficiency. While per capita GDP increased carbon emissions, energy efficiency had a countering effect on carbon emissions. Our results suggests that China’s measures in the past decade to reduce carbon emissions (i.e. carrying out carbon emissions trading on a fixed basis, readjusting the economic structure, optimizing the energy structure, improving energy efficiency and increasing forest carbon sinks) have helped to reduce carbon emissions. However, China should continue to actively respond to climate change while striving to achieve of economic sustainable development and social progress.",2020-07-01,10.1007/s11356-020-09075-7,"['Yang, Pingguo', 'Liang, Xiao', 'Drohan, Patrick J.']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09075-7,"(""agr*"") AND (""carbon emissions trade"")",springer
469,Does financial development and foreign direct investment improve environmental quality? Evidence from belt and road countries,"This study examines the effect of financial development (FD) and foreign direct investment (FDI) on the environmental quality for the panel of 90 belt and road countries from 1990 to 2017. This study advances the knowledge of financial development by using the new comprehensive index, which is based on access, depth, and efficiency of financial markets and financial institutions and incorporated foreign direct investment as an important determinant of environmental quality. By applying the Driscoll-Kraay standard error pooled ordinary least square method, the empirical findings reveal that FD deteriorates the environmental quality by increasing the CO_2 emissions, while FDI improves environmental quality and the relationship between economic growth (EG) and CO_2 emissions is inverted U-shaped, i.e., presence of EKC hypothesis. The energy consumption and urbanization pollute the environment, while trade openness enhances the quality of the environment. Furthermore, the Dumitrescu-Hurlin (DH) panel causality test result confirms that the bidirectional causality exists among FD, trade openness, energy consumption, and urbanization with CO_2 emissions. The empirical results provide new insights for policymakers and also have several implications for the betterment of environmental quality.",2020-07-01,10.1007/s11356-020-08748-7,"['Ahmad, Mahmood', 'Jiang, Ping', 'Majeed, Abdul', 'Raza, Muhammad Yousaf']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08748-7,"(""agr*"") AND (""carbon emissions trade"")",springer
470,Carbon emissions and carbon trade balances: International evidence from panel ARDL analysis,"International trade plays crucial roles in the evolution of carbon emissions given the prevalence of complex global supply chains. Production reallocation across countries promotes the cross-border trade of emission-embodied products and is closely related to emission transfer or carbon trade balance, which is defined as the difference between territorial and consumption emissions. One important issue addressed in this study is how carbon trade balances relate to carbon emissions under a globalized world with fragmented production. By applying a panel-pooled mean group-autoregressive distributive lag (PMG-ARDL) model, we evaluate the long-run relevance between carbon emissions and carbon trade balances while considering the short-run dynamics over 58 countries during the period of 1990–2014. The main results reveal a positive relationship between carbon trade balances and carbon emissions for high-income countries but no clear evidence for low-income countries. Our analysis argues that a high-income country may achieve emission reduction not only by displacing production units to trading partners but also by transferring high emission-intensive production units to trading partners and by keeping low emission-intensive domestic production units. Our results provide some important implications about emissions embodied in trade and emission transfers via international trade. First, high-income countries, particularly emission importers, should have the greater responsibility for global emission issues and should continue to develop and improve energy-saving and less emission-intensive technology. Second and more importantly, high-income countries should promote spillovers of advanced green technology to trading partners when they outsource emission-intensive production units to low-income countries.",2020-07-01,10.1007/s11356-020-08478-w,"['Hotak, Shukria', 'Islam, Moinul', 'Kakinaka, Makoto', 'Kotani, Koji']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08478-w,"(""agr*"") AND (""carbon emissions trade"")",springer
471,Direct and indirect impacts of high-tech industry development on CO_2 emissions: empirical evidence from China,"Vigorously developing high-tech industry has been considered to be an effective way to coordinate economic growth with excessive carbon dioxide (CO_2) emissions. However, previous studies have not explored the heterogeneous impacts of high-tech industry on CO_2 emissions in regions with different levels of high-tech industry development, and not distinguished the direct and indirect impacts. Based on STIRPAT model, this study investigates the impacts of high-tech industry development on CO_2 emissions in China between 2005 and 2016. Adopting the K-medians cluster method, effects in regions with high, middle, and low levels of high-tech industry development are considered. Indirect effects of high-tech industry development on CO_2 emissions by affecting industry structure upgrades and economic growth are explored. Empirical results illustrate a positive U-shaped nonlinear link between the level of high-tech industry development and CO_2 emissions at the national level and regional (high, middle, and low) level. In terms of indirect impacts, high-tech industry development attenuates the reduction of CO_2 emissions due to industry structure upgrades, and promotes economic growth to increase CO_2 emissions slightly. The indirect impact intensity gradually decreases as the level of high-tech industry development decreases across three regions. Reasonable implications of our findings are proposed.",2020-07-01,10.1007/s11356-020-09071-x,"['Gu, Wei', 'Liu, Di', 'Wang, Chen', 'Dai, Shufen', 'Zhang, Donghui']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09071-x,"(""agr*"") AND (""carbon emissions trade"")",springer
472,A unified cooperative model for environmental costs in supply chains: the Shapley value for the linear case,"This paper provides a normative framework based on cooperative game theory aimed at studying the problem of pollution responsibility allocation across multi-tier supply chains. The model is further developed with reference to the case of a linear supply chain, by using three responsibility principles (namely: Upstream, Downstream and Local Responsibility). Allocation rules are derived; also, desirable properties in terms of fairness, efficiency and transparency are introduced, in order to characterize such rules. Furthermore, a stability concept for efficient allocations is formulated. An example of a possible application of the introduced cost allocation rules is provided.",2020-07-01,10.1007/s10479-018-3028-3,"['Ciardiello, Francesco', 'Genovese, Andrea', 'Simpson, Andrew']",Annals of Operations Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10479-018-3028-3,"(""agr*"") AND (""carbon emissions trade"")",springer
473,MRV framework and prospective scenarios to monitor and ratchet up Brazilian transport mitigation targets,"Transitioning from a carbon-intensive development path to a low-carbon economy requires understanding of emission sources and its drivers. To achieve Nationally Determined Contribution targets discussed under the Paris Agreement, countries must project emission baselines considering different levels of ambition and sectoral performances and monitor government policies and mitigation actions. This study develops a Monitoring, Reporting, and Verification (MRV) framework based on energy use and carbon emission scenarios for Brazil up to 2030, focusing on transport. Three scenarios are developed based on different political commitments. All scenarios and mitigation actions are discussed under the Brazilian Forum on Climate Change, which is recognized as one of the most important institutional instruments of the National Policy on Climate Change. Results reveal a 41% abatement in CO_2e emissions when comparing the most ambitious scenario to the conservative one. MRV framework indicates that Brazil is on track to a low carbon economic transition, although joint action is needed. This is mainly due to the increasing penetration of bioenergy into the transport energy matrix, while electromobility does not expand in Brazil at the pace of major international players such as Europe and China. Special contribution of this paper is on the role of bioenergy in prospective carbon emission scenarios, which is a lack in the literature.",2020-06-27,10.1007/s10584-020-02767-6,"['Goes, George Vasconcelos', 'Gonçalves, Daniel Neves Schmitz', 'Almeida D’Agosto, Márcio', 'Rovere, Emilio Lèbre', 'Mello Bandeira, Renata Albergaria']",Climatic Change,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10584-020-02767-6,"(""agr*"") AND (""carbon emissions trade"")",springer
474,Indicator system to evaluate the effectiveness and efficiency of China clean power systems,"The mitigation of climate change demands a transition to low-carbon power generation systems. To identify effective transition strategies and accelerate the transition process, decision-makers require comprehensive information that can best be obtained through an evaluation of transition trajectories. However, little work has been done to develop comprehensive analysis systems that can evaluate this process. This study presents an indicator system to evaluate power system transitions that include 13 indicators capturing the technical, economic, environmental and policy dimensions. To test its efficacy, the dynamic target framework is applied to the power system transition in China, and comparisons are drawn against global market leaders such as Germany, the USA and Japan. This paper finds that the framework enables a more rigorous comparative analysis of power system transitions between countries than is currently offered by the application of piecemeal indicators. This framework complements contextually rich qualitative case studies. Empirical analysis shows that China’s transition trajectory has been convoluted because of its more severe environmental restrictions and policy guidance. Cooperation in the intelligent transition of the global power system can promote China’s power system transition. This approach should foster both the mitigation of climate change and adaptation to China’s resource constraints.",2020-06-25,10.1007/s11027-020-09925-2,"['Nie, Yan', 'Zhang, Guoxing']",Mitigation and Adaptation Strategies for Global Change,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11027-020-09925-2,"(""agr*"") AND (""carbon emissions trade"")",springer
475,Nexus between sustainable entrepreneurship and environmental pollution: evidence from developing economy,"Today, society is seeking solutions to achieve sustainable development, through association between entrepreneurship, innovation and sustainable development has become a topic of great apprehension. In this perspective, this article aims to link environmental responsive entrepreneurship with sustainable development through empirical evidences from developing country. Therefore, the purpose of this study is to validate the environmental Kuznets curve hypothesis to confirm the achievement of sustainable development goals in Pakistan. We use the combined mean estimator of the autoregressive distribution lag model and GMM model to determine the long-term relationship between the variables and analyze the environmental Kuznets curve hypothesis. We found U-shaped environmental Kuznets curves in Pakistan. Further results show long-term relationship using the PMG-ARDL estimator. Our findings indicate the presence of EKC, U-shaped EKC. This means that at a certain level of economic growth, a 1% increase in per capita income can lead to reductions in environmental pollution by 2.88%, 4.54%, and 2.48%. Therefore, governments and policy makers should strengthen policies to reduce environmental pollution and, more importantly, formulate green financing policies to encourage aspiring environmental entrepreneurs to establish environmentally driven enterprises, promote the use of environmental products to reduce environmental problems, and achieve sustainable development in Pakistan.",2020-06-18,10.1007/s11356-020-09642-y,"['Iqbal, Nadeem', 'Khan, Arman', 'Gill, Abdul Saboor', 'Abbas, Qaiser']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09642-y,"(""agr*"") AND (""carbon emissions trade"")",springer
476,The effect of environmental regulation intensity deviation on China’s inclusive growth,"This is the first attempt to explore the impact of environmental regulation intensity deviation on inclusive growth. An analysis framework in which the deviation between actual intensity and optimal intensity affects inclusive growth is constructed. Based on this analytical framework, this study uses panel data from 281 prefecture-level cities in China during the period 2004–2016 to investigate environmental regulation intensity deviation, as well as the feature, heterogeneity, and mechanisms of environmental regulation intensity deviation affecting inclusive growth. The empirical findings show that (i) environmental regulation has an inverted U-shaped effect on inclusive growth, but the actual intensity of environmental regulation in China is lower than the optimal intensity, which makes it difficult to give full play to its incentive role on inclusive growth; (ii) further grouping tests show that environmental regulation intensity deviation will inhibit inclusive growth within regions but promote inclusive growth between regions due to the difference in deviation; (iii) technological innovation, industrial transformation, and foreign investment have a partial mediating effect, which may be important mechanisms for environmental regulation intensity deviation to restrain inclusive growth; and (iv) the robustness test of informal environmental regulation supports the findings of formal environmental regulation and finds that the deviation of informal environmental regulation is more severe than that of formal environmental regulation. The empirical findings therefore suggest that policymakers should scientifically improve the environmental regulation intensity and optimize the environmental regulatory structure.",2020-06-16,10.1007/s11356-020-09574-7,"['Ge, Tao', 'Li, Jinye']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09574-7,"(""agr*"") AND (""carbon emissions trade"")",springer
477,Greening the Post-pandemic Recovery in the G20,"Rebuilding G20 economies after the COVID-19 pandemic requires rethinking what type of economy we need and want in the future. Simply reviving the existing ‘brown’ economy will exacerbate irreversible climate change and other environmental risks. For G20 economies, investing in a workable and affordable green transition is essential. A good place to start is learning what worked and what did not from previous efforts to green the economic recovery during the 2008–2009 Great Recession, examining the cases of the United States and South Korea. Policies for a sustained economic recovery amount to much more than just short-term fiscal stimulus. Transitioning from fossil fuels to a sustainable low-carbon economy will require long-term commitments (5–10 years) of public spending and pricing reforms. The priorities for public spending include support for private sector green innovation and infrastructure, development of smart grids, transport systems, charging station networks, and sustainable cities. Pricing carbon and pollution, and removing fossil-fuel subsidies, can accelerate the transition, raise revenues for the necessary public investments, and lower the overall cost of the green transition.",2020-06-15,10.1007/s10640-020-00437-w,"['Barbier, Edward B.']",Environmental and Resource Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10640-020-00437-w,"(""agr*"") AND (""carbon emissions trade"")",springer
478,Study on the influence of carbon emission constraints on the performance of thermal power enterprises,"With the increase of carbon dioxide concentration in the atmosphere, the living environment of human beings is seriously affected. As a high carbon emission industry in China, thermal power enterprises are the key areas of carbon emission reduction in China. This paper first uses Super-SBM model to measure the performance of China’s 18 major thermal power enterprises in 2009–2018 from a static point of view. After considering the carbon emission constraints, it analyzes the degree of change in enterprise performance, and finds that the impact of carbon emission constraints on enterprise performance is not absolute. After that, with the help of Malmquist index model, this paper discusses the dynamic changes of thermal power enterprises’ performance under carbon emission constraint in recent 10 yrs. The results show that the overall performance of carbon emission constraint is in a weak regression stage and summarizes the disadvantages of different enterprises. On the basis of the research conclusion, this paper puts forward countermeasures and suggestions to further improve the performance of Chinese thermal power enterprises under the carbon emission constraints in the future, which is conducive to different enterprises to optimize their own disadvantages.",2020-06-12,10.1007/s11356-020-09604-4,"['Dai, Lixin', 'Wang, Mengying']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09604-4,"(""agr*"") AND (""carbon emissions trade"")",springer
479,Do the performance and efficiency of China’s carbon emission trading market change over time?,"Whether or not China can succeed at the forefront of international development in the coming decades will largely hinge on its ability to adapt to low-carbon economic development and its efforts to promote the Unified National Emission Trading System (UNETS). To understand the evolution of China’s carbon market, this paper firstly divides the development of China’s regional carbon markets into three phases: pilot construction (phase 1, before 31 May 2015), preparation for the UNETS (phase 2, 1 June 2015–19 December 2017), and formal construction of the UNETS (phase 3, 20 December 2017–present). Then this research reviews the trading performance and employs four robust variance ratio (VR) tests to capture structural changes and examine the efficiency of China’s eight regional carbon markets in different periods. Results show that compared to phase 1, smaller price volatility, larger daily trading volume, and higher market liquidity are more frequent at the later stages of majority markets. Despite these improvements, results from the VR tests indicate that the statistic in majority of China’s regional carbon markets is insignificant in any given period and, therefore, they are not weak-form efficient. The additional detrended cross-correlation analysis demonstrates that market liquidity affects market efficiency in the Hubei market only, which implies that Hubei, where the market liquidity reaches almost 100% in phase 3, is highly likely to be weak-form efficient shortly. Finally, several recommendations are provided to improve the efficiency and maturity of China’s carbon markets, including strengthening legislation, improving the market design, and constructing information platforms.",2020-06-11,10.1007/s11356-020-09168-3,"['Zhang, Shiyi', 'Jiang, Kai', 'Wang, Lan', 'Bongers, Geoff', 'Hu, Guoping', 'Li, Jia']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09168-3,"(""agr*"") AND (""carbon emissions trade"")",springer
480,Understanding the economic impact of interacting carbon pricing and renewable energy policy in China,"Climate change is posing risks for human and natural systems, and one of the most important questions faced by policy makers is to reduce such risks and impacts through adaption and mitigation actions. As the country with the highest CO_2 emissions, China is facing unprecedented challenges: climate change, energy structure transformation and socio-economic development all pose complex dilemmas for policy makers. The Chinese government has introduced energy policy and emission reduction measures to achieve its climate change mitigation targets. However, overlap between these measures may generate great uncertainty about their performance. By using a multi-regional computable general equilibrium (CGE) model, this study examines the economic impacts of implementing a nationwide carbon market and a renewable energy subsidy in the power sector in China. The study finds that a renewable energy policy would increase the economic cost of reducing greenhouse gas emissions and lead to a lower carbon price level if a carbon pricing mechanism were in place. However, the combination of the two policies indeed shows advantages in achieving emission reduction targets and renewable energy promotion targets. While an emission trading scheme is necessary for reducing emissions effectively, a renewable energy policy could promote the large-scale use of renewable energy in the electricity sector. In addition, the adoption of a renewable energy policy could yield substantial inter-regional capital inflow to central and western regions. This would improve low-carbon investment in less developed regions, and thus an appropriately designed policy mix would be sensible.",2020-06-10,10.1007/s10113-020-01663-0,"['Wu, Jie', 'Fan, Ying', 'Timilsina, Govinda', 'Xia, Yan', 'Guo, Renyong']",Regional Environmental Change,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10113-020-01663-0,"(""agr*"") AND (""carbon emissions trade"")",springer
481,Leader-follower optimized approach for carbon-economy equilibrium in the municipal solid waste (MSW) incineration industry,"Municipal solid waste (MSW) incineration contributes significantly to carbon emissions, and has become a serious problem in China, which has seen an exponential rise in waste over the last twenty years due to rapid urbanization and the associated consumer economy growth. To tackle this issue, this paper develops a leader-follower optimized approach for economic and environmental equilibrium in incineration power plants that includes a carbon allowance allocation scheme (IPP-CAAS) under combustion and pollutant limitations. In the leader-follower (bi-level) game, the regional authority on the upper level determines the carbon allocations and environmental targets and the IPPs on the lower level develop schemes to maximize revenue under the upper-level restrictions. By employing uncertain parameters for the carbon and power conversion fluctuations, the approach is able to more accurately depict the industry characteristics of waste incineration process in this carbon-economy balance problem. The robustness and practicality of the proposed methodology was then validated through a case study. Scenario analysis under different political parameters indicates that the proposed methodology can assist the authorities to achieve carbon-economy trade-off and under serious carbon-control situations, encourage the IPPs to reduce their blended coal ratios, and invest in low-carbon incineration technology. Managerial insights on further industrial developments are also given for the authority and relevant practitioners.",2020-06-08,10.1007/s11356-020-09076-6,"['Xu, Jiuping', 'Zhu, Mengyuan', 'Zhao, Siwei']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-09076-6,"(""agr*"") AND (""carbon emissions trade"")",springer
482,The effects of emission trading system on corporate innovation and productivity-empirical evidence from China’s SO_2 emission trading system,"Emission trading system is a significant market-based environmental regulation tool worldwide. This study fills existing knowledge gap on whether ETSs have “weak” and “strong” version of Porter hypothesis effects in China, by examining the effects of the Chinese SO_2 emission trading on corporate innovation and productivity. Using the micro-data of domestic-listed manufacturing companies from 2004 to 2015, this study regarded China’s SO_2 emission trading system as a quasi-natural experiment by applying a difference-in-difference framework to eliminate endogenous problems. It was found that the SO_2 emission trading system significantly promoted corporate innovation but did not have a significant effect on corporate productivity. The cause analysis showed that suboptimal institutional context and lack of corporate dynamic response led to the failure of strong Porter hypothesis effect. In addition, small- and medium-sized enterprises and non-state-owned enterprises gained greater innovation compensation effects of the emission trading system. This research believed that, the design, institutional context, and market incentives of emission trading systems need to be improved from the top down, to achieve the dual goal of environmental sustainability and economic growth.",2020-06-01,10.1007/s11356-020-08566-x,"['Tang, Hong-li', 'Liu, Jian-min', 'Mao, Jun', 'Wu, Jin-guang']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08566-x,"(""agr*"") AND (""carbon emissions trade"")",springer
483,Governing energy consumption in China: a comprehensive assessment of the energy conservation target responsibility system,"The governance of energy consumption in China is of environmental significance from the standpoints of preventing local air pollution and global climate change. At the heart of China’s energy governance system is the energy conservation target responsibility system (ECTRS). This article examines this important governance instrument from three key aspects. First, it explains the role of the ECTRS in China’s authoritarian yet decentralized governance system. Second, it traces the development of the ECTRS over the last decade, with a specific focus on the reforms introduced in the 13th 5-Year Plan (2016–2020), particularly the energy caps. Third, it analyzes the limitations of the ECTRS and provides a policy outlook in the context of growing domestic and international interests in energy conservation.",2020-06-01,10.1007/s41825-020-00023-0,"['Lo, Kevin']",Energy Transitions,http://link.springer.com/openurl/pdf?id=doi:10.1007/s41825-020-00023-0,"(""agr*"") AND (""carbon emissions trade"")",springer
484,Impact of green finance on economic development and environmental quality: a study based on provincial panel data from China,"The goal of green finance is to pursue the coordinated development of financial activities, environmental protection, and ecological balance. This study aims to examine the impact of green finance on economic development and environmental quality. Data concerning green finance, economic development, and environmental quality for 30 provinces and municipalities in China from 2010 to 2017 are used. First, the global principal component analysis is adopted to develop a green finance development index. Second, a model of the impact of green finance on economic development is constructed, which indicates that the development of green finance plays a role in promoting economic development. Next, emissions of industrial smoke (powder) dust, industrial solid waste, and carbon dioxide are used to represent the environmental variables, and a model of the impact of green finance on environmental quality is proposed. The model shows that green finance has a positive effect on environment improvement. However, the impact of green finance on environmental quality varies for different levels of economic development. Finally, based on the theory of the environmental Kuznets curve, a model of the impact of green finance on the relationship between economic development and environmental quality is developed. The model indicates that green finance can significantly improve this relationship, creating a win-win situation regarding economic development and the environment.",2020-06-01,10.1007/s11356-020-08383-2,"['Zhou, Xiaoguang', 'Tang, Xinmeng', 'Zhang, Rui']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08383-2,"(""agr*"") AND (""carbon emissions trade"")",springer
485,Measuring and Improving Eco-efficiency,"As energy and environmental issues continue to generate social concerns, firms are pushed to alleviate their energy and environmental externalities from economic activities and network operations while pursuing economic interests. A comprehensive performance evaluation involving both productive and environmental factors is therefore desired by firms to aggregate multiple aspects into condensed information to facilitate decision-making. In this study, we develop a new eco-efficiency measure for energy-intensive economic activities, which integrates productive and environmental factors in the presence of undesirable outputs. The proposed measure has the following merits in comparison with a majority of existing ones that have been widely used in energy- and environment-related areas. It guarantees Pareto-Koopmans eco-efficiency because only non-dominated entities are measured as eco-efficient. It also captures any actual fluctuations in inputs, desirable outputs, and undesirable outputs, as it proves to be strongly monotonic in all input and output dimensions. It has a positive significance for promoting undesirable output abatement, because it stimulates scale improvement for entities in pursuit of economies of scale. It also provides great flexibility of improvement for individual inputs and outputs to achieve eco-efficiency. The marginal abatement costs of undesirable outputs are estimated to facilitate managing the potential tradeoff between undesirable output abatement and desirable output production. We also extend it to weighted eco-efficiency measures for specific situations wherever necessary. Its practicability and comparison with existing models are illustrated by an empirical example.",2020-06-01,10.1007/s10666-019-09679-5,"['Chen, Jin-Xiao', 'Chen, Jian']",Environmental Modeling & Assessment,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10666-019-09679-5,"(""agr*"") AND (""carbon emissions trade"")",springer
486,The distributionally robust optimization model for a remanufacturing system under cap-and-trade policy: a newsvendor approach,"This paper considers a remanufacturing system in which the remanufacturer uses both the fresh raw material and recycled material to produce new products. Only partial information of the demand distribution, including the mean and variance, is available in this system. The operational activities of the remanufacturer are major contributors to carbon emissions, and a government agency imposes a cap-and-trade (carbon emission trading) policy on the remanufacturer. In the context of the distributionally robust newsvendor model, a maxmin approach is used to solve the optimal joint collection and production quantities. To study whether implementation of a cap-and-trade policy improves the remanufacturer’s expected profit and reduces corresponding carbon emissions, the case where the government agency does not impose cap-and-trade policy is considered and compared. Finally, numerical analysis is conducted to illustrate and complement the analytical results and to investigate the influences of several main parameters on the distributionally robust newsvendor model for the remanufacturing system under a cap-and-trade policy.",2020-05-29,10.1007/s10479-020-03642-4,"['Bai, Qingguo', 'Xu, Jianteng', 'Zhang, Yuzhong']",Annals of Operations Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10479-020-03642-4,"(""agr*"") AND (""carbon emissions trade"")",springer
